table,project,sponsors,link
1,Aidos,"Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Amazon Web Services - Best Use of AWS",http://bitcamp2017.devpost.com/submissions/71153-aidos
2,ï__ï_…ï_çï_…ï_“,"Best Cybersecurity Related Hack - OPIS, Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS",http://bitcamp2017.devpost.com/submissions/71201-
3,Cantern,"Best Domain Name from Domain.com, Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71241-cantern
4,HawkEyes,"Credible Challenge, Best Philantrophic Hack | Bloomberg, Most Creative UX/UI - Viacom, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71245-hawkeyes
5,Cattail - Clickbait Detection Chrome Extension,"Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71248-cattail-clickbait-detection-chrome-extension
6,unCaptcha,"Best Cybersecurity Related Hack - OPIS, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71261-uncaptcha
7,SmartScanner,"Best iOS App - MakeSchool, Most Creative Work Collaboration - Leidos, Best Domain Name from Domain.com, Best Philantrophic Hack | Bloomberg, Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71270-smartscanner
8,Tip Calculator,"Best iOS App - MakeSchool, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71275-tip-calculator
9,Music in Motion,"Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71276-music-in-motion
10,budgetcalculator,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71277-budgetcalculator
11,Nightflier,"Lockheed Martin Aircraft Arcade , Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71285-nightflier
12,Knock Out,"Best Philantrophic Hack | Bloomberg, Most Humorous Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71286-knock-out
13,represent.us,"Smart Document Analytics - FINRA, Best Philantrophic Hack | Bloomberg, Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71287-represent-us
14,NetPriv,"Best Digital Forensics Related Hack - Cipher Tech, Best Cybersecurity Related Hack - OPIS, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71288-netpriv
15,ErgSaver,,http://bitcamp2017.devpost.com/submissions/71290-ergsaver
16,Security Onion,"#HackHarassment, Best Digital Forensics Related Hack - Cipher Tech, Best Cybersecurity Related Hack - OPIS, Best Philantrophic Hack | Bloomberg, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71291-security-onion
17,Clothes Minded,"Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71293-clothes-minded
18,Akada,Most Aesthetic UI and UX Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71294-akada
19,Fashion University (FU),"Best iOS App - MakeSchool, Most Creative Work Collaboration - Leidos, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS",http://bitcamp2017.devpost.com/submissions/71296-fashion-university-fu
20,Pinpoint Notes Notetaker,,http://bitcamp2017.devpost.com/submissions/71297-pinpoint-notes-notetaker
21,Happening,"Best iOS App - MakeSchool, Credible Challenge, Best Philantrophic Hack | Bloomberg, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71299-happening
22,Texas Hold'Em Statistics,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71300-texas-hold-em-statistics
23,MarkovNotes,Most Humorous Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71301-markovnotes
24,Dance Neural Nets,,http://bitcamp2017.devpost.com/submissions/71302-dance-neural-nets
25,Time Capsule UI,"Best iOS App - MakeSchool, Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71303-time-capsule-ui
26,Cipher-Converter,"Best Digital Forensics Related Hack - Cipher Tech, Best Cybersecurity Related Hack - OPIS, Best iOS App - MakeSchool, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71304-cipher-converter
27,TournaBook,"Most Creative Work Collaboration - Leidos, Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71305-tournabook
28,hack-attack,"Credible Challenge, Most Creative Work Collaboration - Leidos, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71306-hack-attack
29,NLP File Organizer,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71307-nlp-file-organizer
30,gnoP,"Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71308-gnop
31,Lettuce Assume Your Gender,"Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71310-lettuce-assume-your-gender
32,Legislative Court Data Mining with IBM Watson,"Best Use of IBM Cognitive & Bluemix - IBM, Smart Document Analytics - FINRA, Best Philantrophic Hack | Bloomberg, Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71311-legislative-court-data-mining-with-ibm-watson
33,To Do Or Die,"Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71312-to-do-or-die
34,Zencode,"Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71313-zencode
35,Maryland Music Maker,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71314-maryland-music-maker
36,BitClicker,"Most Humorous Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71315-bitclicker
37,WebBoard,,http://bitcamp2017.devpost.com/submissions/71316-webboard
38,peppero.me,"Best Domain (.me) Name - Namecheap, Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71317-peppero-me
39,Scrapbookit,"Best use of SparkPost , Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71318-scrapbookit
40,Protego,"#HackHarassment, Best Digital Forensics Related Hack - Cipher Tech, Best Cybersecurity Related Hack - OPIS, Best use of SparkPost , Most Creative UX/UI - Viacom, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71319-protego
41,Computing group representations using free products,,http://bitcamp2017.devpost.com/submissions/71320-computing-group-representations-using-free-products
42,Pimp My Stack,"Most Creative UX/UI - Viacom, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71321-pimp-my-stack
43,DevJS,"Best Domain Name from Domain.com, Most Aesthetic UI and UX Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71322-devjs
44,LiFi,"Best use of Intel Edison or Arduino 101 for Health - Intel, Most Creative Work Collaboration - Leidos, Best Philantrophic Hack | Bloomberg, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71323-lifi
45,Social Awareness Calculator(AKA Woke Calculator),"#HackHarassment, Best Digital Forensics Related Hack - Cipher Tech, Best Use of IBM Cognitive & Bluemix - IBM, Best Domain Name from Domain.com, Best Philantrophic Hack | Bloomberg, Most Humorous Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71324-social-awareness-calculator-aka-woke-calculator
46,bitcamp,Smart Document Analytics - FINRA,http://bitcamp2017.devpost.com/submissions/71325-bitcamp
47,Air-Keyboard,"Best use of Intel Edison or Arduino 101 for Health - Intel, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71326-air-keyboard
48,Skejewel ,"Most Creative Work Collaboration - Leidos, Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71327-skejewel
49,Tweet Tunes,"Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71328-tweet-tunes
50,IO Block,"Best Use of React JS - Appian, Best Digital Forensics Related Hack - Cipher Tech, Best Cybersecurity Related Hack - OPIS, Best Philantrophic Hack | Bloomberg, Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71329-io-block
51,Cashweb,,http://bitcamp2017.devpost.com/submissions/71330-cashweb
52,Pheedback,"Best Domain (.me) Name - Namecheap, Best Use of IBM Cognitive & Bluemix - IBM, Most Creative Work Collaboration - Leidos, Best Domain Name from Domain.com, Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71331-pheedback
53,Ruby Slippers,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71332-ruby-slippers
54,Plus Interest,,http://bitcamp2017.devpost.com/submissions/71333-plus-interest
55,SYNERGY,"Credible Challenge, Most Humorous Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71334-synergy
56,Magic Mirror,"Most Aesthetic UI and UX Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71335-magic-mirror
57,Ideation,"Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71338-ideation
58,Bitcamp2017,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71339-bitcamp2017
59,My Mood,"Most Humorous Hack - Bitcamp, Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS",http://bitcamp2017.devpost.com/submissions/71340-my-mood
